URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7europe.org/fhir/terminology/ehdsi/ValueSet/eHDSIObservationInterpretation,0.1.0,draft,,eHDSIObservationInterpretation,eHDSI Observation Interpretation,"This Value Set is used for a rough qualitative interpretation of the Laboratory Observation Results",,"THO (V3)"
http://hl7europe.org/fhir/terminology/ehdsi/ValueSet/eHDSIPackage,0.1.0,draft,,eHDSIPackage,nan,"nan",,"Other"
http://hl7europe.org/fhir/terminology/ehdsi/ValueSet/eHDSIPerformerFunction,0.1.0,draft,,eHDSIPerformerFunction,eHDSI Performer Function,"Laboratory Performer Function",,"THO (V3)"
http://hl7europe.org/fhir/terminology/ehdsi/ValueSet/eHDSIPresenceAbsence,0.1.0,draft,,eHDSIPresenceAbsence,eHDSI Presence Absence,"The Value Set is used to describe presence and absence findings (qualifier values) of the Laboratory Test Results",,"SCT"
http://hl7europe.org/fhir/terminology/ehdsi/ValueSet/eHDSIQuantityUnit,0.1.0,draft,,eHDSIQuantityUnit,nan,"nan",,"Other"
http://hl7europe.org/fhir/terminology/ehdsi/ValueSet/eHDSIRareDisease,0.1.0,draft,,eHDSIRareDisease,eHDSI Rare Disease,"The Value Set is used to describe the problems and medication reasons.",,"Other"
http://hl7europe.org/fhir/terminology/ehdsi/ValueSet/eHDSIReactionAllergy,0.1.0,draft,,eHDSIReactionAllergy,eHDSI Reaction Allergy,"Value Set is used to encode clinical manifestation of the allergic reaction.",,"SCT"
http://hl7europe.org/fhir/terminology/ehdsi/ValueSet/eHDSIReferenceRangeAppliesTo,0.1.0,draft,,eHDSIReferenceRangeAppliesTo,eHDSI Reference Range Applies To,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to",,"THO"
http://hl7europe.org/fhir/terminology/ehdsi/ValueSet/eHDSIReferenceRangeMeaning,0.1.0,draft,,eHDSIReferenceRangeMeaning,eHDSI Reference Range Meaning,"This value set defines a set of codes for a reference range qualifier",,"THO"
http://hl7europe.org/fhir/terminology/ehdsi/ValueSet/eHDSIRouteofAdministration,0.1.0,draft,,eHDSIRouteofAdministration,nan,"nan",,"Other"
http://hl7europe.org/fhir/terminology/ehdsi/ValueSet/eHDSISubstance,0.1.0,draft,,eHDSISubstance,nan,"nan",,"Other"
http://hl7europe.org/fhir/terminology/ehdsi/ValueSet/eHDSIUnit,0.1.0,draft,,eHDSIUnit,eHDSI Unit,"eHDSI Unit",,"Other"
http://hl7europe.org/fhir/terminology/ehdsi/ValueSet/eHDSIVaccine,0.1.0,draft,,eHDSIVaccine,nan,"nan",,"SCT,hl7.terminology.r4"
